model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_CK2,0.9633,0.012,0.9067,0.0305,0.9807,0.0122,0.9083,0.0201,0.943,0.0112,0.7184,0.0532
HistGradientBoosting,target_CK2,0.9543,0.0135,0.8235,0.0441,0.9429,0.0171,0.9522,0.0167,0.9474,0.0083,0.6627,0.0624
SVM,target_CK2,0.962,0.0079,0.9098,0.0354,0.9815,0.0124,0.9107,0.0334,0.9445,0.0188,0.7284,0.0803
GradientBoosting,target_CK2,0.9437,0.0233,0.7955,0.0402,0.9315,0.0136,0.9671,0.0102,0.9489,0.0081,0.6492,0.067
RandomForest,target_Proteasome,0.9732,0.0105,0.925,0.0235,0.9296,0.0294,0.9235,0.0332,0.9261,0.0231,0.8508,0.0466
HistGradientBoosting,target_Proteasome,0.9734,0.0116,0.9328,0.0199,0.936,0.0308,0.9329,0.0244,0.9341,0.0188,0.8663,0.0388
SVM,target_Proteasome,0.9715,0.0097,0.9293,0.0221,0.9361,0.0248,0.9247,0.0346,0.93,0.0223,0.8592,0.0438
GradientBoosting,target_Proteasome,0.9681,0.0136,0.9249,0.0225,0.9223,0.0252,0.9317,0.0312,0.9267,0.0222,0.8506,0.0449
RandomForest,target_USP7,0.9854,0.0138,0.9562,0.0264,0.9853,0.0103,0.9687,0.0183,0.9769,0.0133,0.8922,0.0598
HistGradientBoosting,target_USP7,0.9773,0.0224,0.9339,0.0351,0.9715,0.0157,0.9807,0.0108,0.976,0.0119,0.88,0.061
SVM,target_USP7,0.9899,0.0084,0.9598,0.0249,0.9854,0.0102,0.9759,0.012,0.9806,0.0109,0.9073,0.051
GradientBoosting,target_USP7,0.9789,0.0169,0.9205,0.0479,0.9669,0.0224,0.9735,0.0101,0.9701,0.0139,0.85,0.0729
RandomForest,target_USP14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
HistGradientBoosting,target_USP14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
SVM,target_USP14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
GradientBoosting,target_USP14,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
RandomForest,target_TGFbeta_R1_ALK5,0.9755,0.0045,0.8523,0.0199,0.9631,0.0056,0.967,0.0096,0.965,0.0048,0.7145,0.0372
HistGradientBoosting,target_TGFbeta_R1_ALK5,0.9602,0.0051,0.8218,0.0323,0.9538,0.009,0.9816,0.0065,0.9675,0.0025,0.7134,0.0296
SVM,target_TGFbeta_R1_ALK5,0.9731,0.004,0.8814,0.0152,0.9725,0.0043,0.9543,0.0079,0.9633,0.0043,0.7242,0.0293
GradientBoosting,target_TGFbeta_R1_ALK5,0.9512,0.006,0.7541,0.0343,0.9361,0.0085,0.986,0.006,0.9604,0.0052,0.628,0.0587
RandomForest,target_TGFbeta_R2,0.9953,0.0029,0.9688,0.0121,0.9945,0.0031,0.9757,0.014,0.985,0.0071,0.8921,0.0469
HistGradientBoosting,target_TGFbeta_R2,0.9965,0.0026,0.9501,0.0016,0.9866,0.0,0.9946,0.003,0.9906,0.0015,0.9233,0.0121
SVM,target_TGFbeta_R2,0.9945,0.0035,0.9627,0.0369,0.992,0.0109,0.9825,0.0076,0.9871,0.0044,0.9015,0.0374
GradientBoosting,target_TGFbeta_R2,0.9625,0.012,0.8669,0.0584,0.9647,0.0156,0.9892,0.0102,0.9767,0.0077,0.8015,0.0701
RandomForest,target_MMP9,0.9706,0.0068,0.899,0.0204,0.9657,0.0077,0.9791,0.0046,0.9723,0.0043,0.823,0.0284
HistGradientBoosting,target_MMP9,0.9688,0.0058,0.8862,0.0128,0.9609,0.0053,0.98,0.0048,0.9703,0.0015,0.8081,0.0104
SVM,target_MMP9,0.9685,0.0065,0.9021,0.0206,0.9696,0.0086,0.961,0.0089,0.9652,0.0043,0.7903,0.0262
GradientBoosting,target_MMP9,0.9533,0.0095,0.865,0.0433,0.9529,0.0155,0.9833,0.0045,0.9678,0.0082,0.7862,0.0601
RandomForest,target_PDGFR_beta,0.959,0.0056,0.8701,0.0143,0.9424,0.0103,0.9238,0.0199,0.9329,0.0079,0.7263,0.0249
HistGradientBoosting,target_PDGFR_beta,0.957,0.0084,0.8499,0.0218,0.9249,0.012,0.9504,0.0165,0.9374,0.0088,0.7245,0.0374
SVM,target_PDGFR_beta,0.9556,0.0069,0.8793,0.0197,0.9534,0.0127,0.902,0.0145,0.9269,0.0083,0.7202,0.0322
GradientBoosting,target_PDGFR_beta,0.9532,0.0055,0.8268,0.0135,0.9098,0.0074,0.9634,0.008,0.9358,0.0038,0.7065,0.0196
RandomForest,target_LOX,0.9478,0.0602,0.8557,0.0877,0.9934,0.0046,0.9947,0.0086,0.994,0.0028,0.7479,0.0862
HistGradientBoosting,target_LOX,0.9002,0.1426,0.682,0.1849,0.9857,0.0085,0.9974,0.0059,0.9915,0.0018,0.4667,0.2839
SVM,target_LOX,0.9026,0.1354,0.7653,0.0682,0.9895,0.0035,0.9974,0.0059,0.9934,0.0024,0.672,0.1031
GradientBoosting,target_LOX,0.8563,0.1554,0.6081,0.0637,0.9828,0.0035,0.9828,0.01,0.9828,0.0044,0.1944,0.1101
RandomForest,target_LOXL2,0.955,0.0346,0.7961,0.1523,0.9909,0.0074,0.9921,0.0086,0.9914,0.0037,0.6077,0.2073
HistGradientBoosting,target_LOXL2,0.8878,0.1132,0.6974,0.2159,0.9858,0.0115,0.9947,0.0055,0.9902,0.0051,0.3938,0.3994
SVM,target_LOXL2,0.8928,0.107,0.707,0.0842,0.987,0.0046,0.9974,0.0036,0.9921,0.0029,0.5618,0.1876
GradientBoosting,target_LOXL2,0.8379,0.1022,0.6191,0.1375,0.983,0.0073,0.9881,0.0086,0.9855,0.005,0.2635,0.2788
